176093659320,TYPE_REF,2,,class AreaDetailSerializer<meta>(...),1,,18,,,2,,job\\serializers\\area.py:<module>.AreaDetailSerializer<meta>
176093659321,TYPE_REF,2,,__builtins__.super,1,,1,,,2,,__builtin.super
176093659322,TYPE_REF,1,,class Meta<meta>(...),5,,15,,,1,,job\\serializers\\distribution_report.py:<module>.SubjectSquadSerializer.Meta<meta>
176093659323,TYPE_REF,0,,class Meta<meta>(...),5,,15,,,1,,job\\serializers\\distribution_report.py:<module>.SubjectSquadSerializer.Meta<meta>
176093659324,TYPE_REF,2,,class Meta<meta>(...),5,,15,,,2,,job\\serializers\\distribution_report.py:<module>.SubjectSquadSerializer.Meta<meta>
176093659325,TYPE_REF,1,,class SubjectSquadSerializer<meta>(...),1,,14,,,1,,job\\serializers\\distribution_report.py:<module>.SubjectSquadSerializer<meta>
176093659326,TYPE_REF,0,,class SubjectSquadSerializer<meta>(...),1,,14,,,1,,job\\serializers\\distribution_report.py:<module>.SubjectSquadSerializer<meta>
176093659327,TYPE_REF,2,,class SubjectSquadSerializer<meta>(...),1,,14,,,2,,job\\serializers\\distribution_report.py:<module>.SubjectSquadSerializer<meta>
176093659328,TYPE_REF,1,,class Meta<meta>(...),5,,25,,,1,,job\\serializers\\distribution_report.py:<module>.SubjectReportSerializer.Meta<meta>
176093659329,TYPE_REF,0,,class Meta<meta>(...),5,,25,,,1,,job\\serializers\\distribution_report.py:<module>.SubjectReportSerializer.Meta<meta>
176093659330,TYPE_REF,2,,class Meta<meta>(...),5,,25,,,2,,job\\serializers\\distribution_report.py:<module>.SubjectReportSerializer.Meta<meta>
176093659331,TYPE_REF,1,,class SubjectReportSerializer<meta>(...),1,,20,,,1,,job\\serializers\\distribution_report.py:<module>.SubjectReportSerializer<meta>
176093659332,TYPE_REF,0,,class SubjectReportSerializer<meta>(...),1,,20,,,1,,job\\serializers\\distribution_report.py:<module>.SubjectReportSerializer<meta>
176093659333,TYPE_REF,2,,class SubjectReportSerializer<meta>(...),1,,20,,,2,,job\\serializers\\distribution_report.py:<module>.SubjectReportSerializer<meta>
176093659334,TYPE_REF,1,,class Meta<meta>(...),5,,34,,,1,,job\\serializers\\distribution_report.py:<module>.AreaReportSerializer.Meta<meta>
176093659335,TYPE_REF,0,,class Meta<meta>(...),5,,34,,,1,,job\\serializers\\distribution_report.py:<module>.AreaReportSerializer.Meta<meta>
176093659336,TYPE_REF,2,,class Meta<meta>(...),5,,34,,,2,,job\\serializers\\distribution_report.py:<module>.AreaReportSerializer.Meta<meta>
176093659337,TYPE_REF,1,,class AreaReportSerializer<meta>(...),1,,33,,,1,,job\\serializers\\distribution_report.py:<module>.AreaReportSerializer<meta>
176093659338,TYPE_REF,0,,class AreaReportSerializer<meta>(...),1,,33,,,1,,job\\serializers\\distribution_report.py:<module>.AreaReportSerializer<meta>
176093659339,TYPE_REF,2,,class AreaReportSerializer<meta>(...),1,,33,,,2,,job\\serializers\\distribution_report.py:<module>.AreaReportSerializer<meta>
176093659340,TYPE_REF,1,,class Meta<meta>(...),5,,43,,,1,,job\\serializers\\distribution_report.py:<module>.ScheduleReportSerializer.Meta<meta>
176093659341,TYPE_REF,0,,class Meta<meta>(...),5,,43,,,1,,job\\serializers\\distribution_report.py:<module>.ScheduleReportSerializer.Meta<meta>
176093659342,TYPE_REF,2,,class Meta<meta>(...),5,,43,,,2,,job\\serializers\\distribution_report.py:<module>.ScheduleReportSerializer.Meta<meta>
